,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
0,Black Assarca shipwreck,Unknown,Early 7th century ,,Africa,East Africa,Eritrea,,,"A wreck discovered at Black Assarca Island in 1995. It was excavated in 1997, and found to hold a cargo of amphoras.",
1,Globe Star,Singapore,27 April 1973,,Africa,East Africa,Kenya,, -4.0818; 39.72﻿ ,A cargo ship that ran aground off Mombasa.,
2,Gulland,Aden,13 April 1951,,Africa,East Africa,Kenya,, -4.04722; 39.73250﻿ ,A 545-ton Isles-class trawler built for World War II. It ran aground three miles (4.8 km) north of Mombasa.,
3,MV Mtongwe,Tanzania,27 April 1994,,Africa,East Africa,Kenya,,-6.0; 35.0,A Likoni and Mombasa route ferry that capsized due to overcrowding off Kilindini Harbour. 270 people lost their lives.,//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Likoni_Ferry%2C_Mombasa%2C_Kenya.JPG/220px-Likoni_Ferry%2C_Mombasa%2C_Kenya.JPG
4,Katina P,Greece,26 April 1992,,Africa,East Africa,Mozambique,, -25.583; 32.983﻿ ,"An oil tanker that was damaged in a storm, spilling several thousand tonnes of oil.",
5,Sunny South,Royal Navy,20 February 1861,,Africa,East Africa,Mozambique,, -13.048; 45.195﻿ ,"An American-built extreme clipper sold to Havana and put to work in the slave trade. It was captured by the Royal Navy and used as a store ship, before striking a reef and sinking at Mayotte.",//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/HMS_Brisk_and_Emanuela.jpg/300px-HMS_Brisk_and_Emanuela.jpg
6,MS Achille Lauro,Italy,2 December 1994,,Africa,East Africa,Somalia,, 2; 47﻿ ,A cruise ship that was hijacked in 1985 by the Palestine Liberation Front. It ultimately sank after an explosion in the engine room started a fire that engulfed the ship.,
7,U-852,Kriegsmarine,3 May 1944,,Africa,East Africa,Somalia,, 9.533; 50.983﻿ ,A Type IXD2 U-boat that was attacked by British aircraft and run aground near Bayla.,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/War_Ensign_of_Germany_%281938%E2%80%931945%29.svg/47px-War_Ensign_of_Germany_%281938%E2%80%931945%29.svg.png
8,SMS Königsberg,Imperial German Navy,11 July 1915,,Africa,East Africa,Tanzania,, -7.86833; 39.24000﻿ ,A  Königsberg-class light cruiser that was sunk in the Rufiji River.,
9,HMS Pegasus,Royal Navy,20 September 1914,,Africa,East Africa,Tanzania,, -6.14833; 39.19333﻿ ,A  Pelorus-class protected cruiser that was sunk at Zanzibar by SMS Königsberg.,
10,MV Spice Islander I,Tanzania,10 September 2011,,Africa,East Africa,Tanzania,, -5.65639; 39.47417﻿ ,"A RORO ferry that sank between Unguja and Pemba Island, with the loss of at least 200 lives.",//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Spice_Islander.jpg/300px-Spice_Islander.jpg
11,MV Bukoba,Tanzania,21 May 1996,,Africa,East Africa,Lake Victoria,, -1.98389; 32.31861﻿ ,A Lake Victoria ferry that sank off Mwanza with over 200 confirmed dead.,
12,MV Kabalega,Uganda,8 May 2005,,Africa,East Africa,Lake Victoria,, -0.65639; 32.14472﻿ ,A train ferry that collided with MV Kaawa near the Ssese Islands.,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/23px-Flag_of_Uganda.svg.png
13,SS Robert Coryndon,The Protectorate of Uganda,1962,,Africa,East Africa,Lake Albert,,,"A British ferry named after Robert Coryndon, Governor of Uganda (1918–22).",
14,Adventure Galley,England,April 1698,,Africa,Madagascar,,,,"A galley that was captained by William Kidd, who ordered it burnt at Île Sainte-Marie.",
15,HMS Serapis,Royal Navy,July 1781,,Africa,Madagascar,,, -17.00250; 49.84194﻿ ,A  Roebuck-class fifth-rate that caught fire and sank off Île Sainte-Marie.,
16,HMS Karanja,Royal Navy,12 November 1942,,Africa,North Africa,Algeria,,,"Troop carrier (infantry), former BI cargo liner. Sunk by German aircraft off Bougie (Béjaïa).",
17,HMS Algerine,Royal Navy,15 November 1942,,Africa,North Africa,Algeria,, 36.750; 5.183﻿ ,An  Algerine-class minesweeper that was torpedoed by the Italian submarine Ascianghi off Béjaïa.,
18,SS City of Venice,Royal Navy,4 July 1943,,Africa,North Africa,Algeria,, 36.733; 1.517﻿ ,A troopship that was torpedoed by the German submarine U-375.,
19,HMT Narkunda,Royal Navy,14 November 1942,,Africa,North Africa,Algeria,, 36.867; 5.017﻿ ,"Narkunda British P&O requisitioned troopship bombed and sunk by German aircraft. Sister ship Naldera. Located off Bougie (Béjaïa), Algeria, passing Cape Carbon.",
20,HMS Ibis,Royal Navy,10 November 1942,,Africa,North Africa,Algeria,, 37.000; 3.000﻿ ,A  Black Swan-class sloop that was sunk by an Italian aircraft north of Algiers.,
21,USS Leedstown,United States Navy,9 November 1942,,Africa,North Africa,Algeria,, 36.82028; 3.16528﻿ ,A troopship that was sunk by the German submarine U-331 off Algiers.,
22,HMCS Louisburg,Royal Canadian Navy,6 February 1943,,Africa,North Africa,Algeria,, 36.250; 0.250﻿ ,A Flower-class corvette that was sunk by German aircraft near Mostaganem.,
23,HMT Rohna,Royal Navy,26 November 1943,,Africa,North Africa,Algeria,, 37.02000; 5.20167﻿ ,A British troop carrier sunk north of Béjaïa in an air attack during World War II.,
24,HMS Samphire,Royal Navy,30 January 1943,,Africa,North Africa,Algeria,, 36.93333; 5.66667﻿ ,A Flower-class corvette that was torpedoed by an Italian submarine off Béjaïa.,
25,SS Strathallen,Royal Navy,22 December 1942,,Africa,North Africa,Algeria,,,A Strath-class liner that was being used as a troop transport was sunk by a German submarine off the coast of Algeria.,
26,HMS Attack,Royal Navy,30 December 1917,,Africa,North Africa,Egypt,, 31.300; 29.817﻿ ,An  Acheron-class destroyer that was sunk northwest of Alexandria.,
27,HMS Defender,Royal Navy,11 July 1941,,Africa,North Africa,Egypt,, 31.750; 25.517﻿ ,A D-class destroyer that was attacked by a German bomber and sank under tow off Sidi Barrani.,
28,HMS Myngs,Royal Navy,16 May 1970,,Africa,North Africa,Egypt,,,A Z-class destroyer that was sunk by Israeli aircraft in Foul Bay.,
29,L'Orient,French Navy,1 August 1798,,Africa,North Africa,Egypt,,,"An  Océan-class ship of the line and Napoleon's flagship, destroyed by fire and explosion in Aboukir Bay during the Battle of the Nile.",
30,HMS Salvia,Royal Navy,24 December 1941,,Africa,North Africa,Egypt,, 31.46; 28.00﻿ ,A Flower-class corvette that was torpedoed by U-568 about 100 nautical miles west of Alexandria.,
31,Yolanda (Jolanda),Cyprus,April 1980,,Africa,North Africa,Egypt,,,A cargo ship that ran aground on a reef at Ras Muhammad.,
32,MV Salem Express,France,14-15th December 1991,,Africa,North Africa,Egypt,, 26.63944; 34.06083﻿ ,"A roll-on/roll-off passenger ferry that ran aground at midnight on a reef near Safaga, sinking rapidly with the loss of at least 464 civilians.",
33,HMS Dainty,Royal Navy,24 February 1941,,Africa,North Africa,Libya,, 32.07333; 24.07833﻿ ,A D-class destroyer that was sunk by German bombers east of Tobruk.,
34,HMS Ladybird,Royal Navy,12 May 1941,,Africa,North Africa,Libya,, 32.07583; 23.97250﻿ ,An Insect-class gunboat that was sunk by German dive bombers at Tobruk.,
